State Rank,NEET Rank,Percentile,NEET Score,Final Score,Gender,Category,Local,EWS,Minority
4256,104608,94.8354161,504,504,F,OC,AU,No,No
4257,104616,94.8354161,504,504,M,OC,SVU,No,No
4258,104650,94.8354161,504,504,F,OC,OU,No,No
4259,104658,94.8354161,504,504,F,BCB,OU,No,No
4260,104686,94.8354161,504,504,F,OC,OU,No,No
4261,104688,94.8354161,504,504,F,BCB,NL,No,No
4262,104697,94.8354161,504,504,F,ST,OU,No,No
4263,104710,94.8354161,504,504,F,BCE,OU,No,MSM
4264,104726,94.8354161,504,504,F,BCD,SVU,No,No
4265,104735,94.8354161,504,504,M,BCD,SVU,No,No
4266,104807,94.8354161,504,504,F,OC,AU,No,No
4267,104852,94.8354161,504,504,M,OC,SVU,No,No
4268,104912,94.8354161,504,504,F,BCD,OU,No,No
4269,104989,94.8354161,504,504,F,ST,OU,No,No
4270,104992,94.8354161,504,504,F,OC,OU,No,No
4271,104996,94.8354161,504,504,F,BCB,OU,No,No
4272,105032,94.8354161,504,504,M,BCD,OU,No,No
4273,105044,94.8354161,504,504,M,BCE,OU,No,MSM
4274,105089,94.8354161,504,504,F,OC,OU,No,MSM
4275,105117,94.8354161,504,504,M,SC,AU,No,No
4276,105160,94.8354161,504,504,F,BCB,OU,No,No
4277,105240,94.8354161,504,504,M,OC,OU,No,No
4278,105287,94.7913172,503,503,F,OC,AU,No,No
4279,105288,94.7913172,503,503,F,OC,OU,No,No
4280,105292,94.7913172,503,503,F,OC,AU,No,No
4281,105295,94.7913172,503,503,F,BCA,OU,No,No
4282,105298,94.7913172,503,503,F,BCE,OU,No,MSM
4283,105304,94.7913172,503,503,M,BCE,OU,No,MSM
4284,105306,94.7913172,503,503,F,OC,OU,No,No
4285,105307,94.7913172,503,503,M,BCD,OU,No,No
4286,105312,94.7913172,503,503,F,BCE,OU,No,MSM
4287,105314,94.7913172,503,503,F,BCB,SVU,No,No
4288,105315,94.7913172,503,503,F,BCD,OU,No,No
4289,105323,94.7913172,503,503,M,BCA,SVU,No,No
4290,105327,94.7913172,503,503,F,OC,AU,No,No
4291,105336,94.7913172,503,503,F,BCB,OU,No,No
4292,105340,94.7913172,503,503,M,SC,OU,No,No
4293,105344,94.7913172,503,503,F,BCD,OU,No,No
4294,105350,94.7913172,503,503,F,BCE,OU,No,MSM
4295,105351,94.7913172,503,503,M,OC,SVU,No,No
4296,105362,94.7913172,503,503,M,BCD,OU,No,No
4297,105367,94.7913172,503,503,F,BCB,OU,No,No
4298,105368,94.7913172,503,503,F,OC,AU,No,No
4299,105386,94.7913172,503,503,F,OC,OU,No,No
4300,105387,94.7913172,503,503,F,BCB,OU,No,No
4301,105395,94.7913172,503,503,F,OC,OU,No,No
4302,105404,94.7913172,503,503,F,SC,OU,No,No
4303,105408,94.7913172,503,503,F,BCA,AU,No,No
4304,105417,94.7913172,503,503,F,OC,AU,No,No
4305,105427,94.7913172,503,503,F,OC,AU,No,No
4306,105465,94.7913172,503,503,F,BCB,SVU,No,No
4307,105470,94.7913172,503,503,F,OC,SVU,No,MSM
4308,105472,94.7913172,503,503,F,OC,AU,No,No
4309,105486,94.7913172,503,503,F,OC,SVU,No,No
4310,105507,94.7913172,503,503,F,BCB,AU,No,No
4311,105513,94.7913172,503,503,F,BCB,OU,No,No
4312,105514,94.7913172,503,503,M,OC,AU,No,No
4313,105520,94.7913172,503,503,F,OC,OU,No,No
4314,105532,94.7913172,503,503,F,BCD,OU,No,No
4315,105535,94.7913172,503,503,F,BCB,OU,No,No
4316,105547,94.7913172,503,503,F,OC,AU,No,No
4317,105553,94.7913172,503,503,M,BCD,OU,No,No
4318,105592,94.7913172,503,503,F,BCB,OU,No,No
4319,105594,94.7913172,503,503,F,OC,AU,No,No
4320,105606,94.7913172,503,503,M,SC,OU,No,No
4321,105654,94.7913172,503,503,F,OC,AU,No,No
4322,105672,94.7913172,503,503,F,BCA,OU,No,No
4323,105712,94.7913172,503,503,F,OC,OU,No,No
4324,105723,94.7913172,503,503,F,SC,AU,No,No
4325,105755,94.7913172,503,503,F,BCB,OU,No,No
4326,105759,94.7913172,503,503,M,OC,SVU,No,No
4327,105766,94.7913172,503,503,M,OC,AU,No,No
4328,105779,94.7913172,503,503,M,SC,SVU,No,No
4329,105797,94.7913172,503,503,M,OC,OU,No,No
4330,105934,94.7913172,503,503,M,BCB,AU,No,MSM
4331,105940,94.7913172,503,503,M,BCD,AU,No,No
4332,105982,94.7913172,503,503,F,OC,AU,No,No
4333,106000,94.7913172,503,503,F,BCB,AU,No,No
4334,120608,94.0412912,488,14.64,F,BCA,SVU,No,No
4335,106186,94.7459428,502,502,M,BCB,SVU,No,No
4336,106188,94.7459428,502,502,F,SC,OU,No,No
4337,106195,94.7459428,502,502,F,BCB,OU,No,No
4338,106196,94.7459428,502,502,M,BCB,OU,No,No
4339,106197,94.7459428,502,502,F,BCE,OU,No,MSM
4340,106199,94.7459428,502,502,F,BCA,AU,No,No
4341,106201,94.7459428,502,502,M,BCB,OU,No,No
4342,106202,94.7459428,502,502,F,OC,AU,No,No
4343,106203,94.7459428,502,502,M,BCD,AU,No,No
4344,106205,94.7459428,502,502,M,OC,SVU,No,MSM
4345,106209,94.7459428,502,502,F,BCD,OU,No,No
4346,106212,94.7459428,502,502,M,SC,OU,No,No
4347,106235,94.7459428,502,502,F,OC,AU,No,No
4348,106238,94.7459428,502,502,M,BCE,OU,No,MSM
4349,106247,94.7459428,502,502,F,BCE,OU,No,MSM
4350,106248,94.7459428,502,502,F,OC,AU,No,No
4351,106254,94.7459428,502,502,M,OC,OU,No,No
4352,106256,94.7459428,502,502,F,OC,AU,No,No
4353,106257,94.7459428,502,502,M,BCD,AU,No,No
4354,106259,94.7459428,502,502,F,SC,OU,No,No
4355,106260,94.7459428,502,502,F,BCD,SVU,No,No
4356,106272,94.7459428,502,502,M,BCD,OU,No,No
4357,106292,94.7459428,502,502,M,OC,AU,No,No
4358,106295,94.7459428,502,502,F,BCB,SVU,No,No
4359,106307,94.7459428,502,502,F,OC,AU,No,No
4360,106315,94.7459428,502,502,F,OC,OU,No,No
4361,106316,94.7459428,502,502,F,OC,SVU,No,No
4362,106327,94.7459428,502,502,M,OC,AU,No,No
4363,106329,94.7459428,502,502,F,OC,OU,No,No
4364,106333,94.7459428,502,502,F,BCE,OU,No,MSM
4365,106335,94.7459428,502,502,F,BCD,OU,No,No
4366,106336,94.7459428,502,502,M,OC,SVU,No,MSM
4367,106347,94.7459428,502,502,F,BCA,AU,No,No
