COLLEGE,RANK,LOC,CAT,SX,EWS,PHASE
"SVS DENTAL COLLEGE, MAHABUBNAGAR",237789,OU,OC,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",249075,OU,BCA,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",270167,OU,BCD,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",271409,OU,BCD,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",274669,OU,BCB,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",276392,OU,BCD,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",277249,OU,ST,M,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",281197,OU,BCB,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",281511,OU,SC,F,,P1
"SVS DENTAL COLLEGE, MAHABUBNAGAR",281538,OU,SC,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",284955,OU,ST,M,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",285701,OU,BCB,F,,P6
"SVS DENTAL COLLEGE, MAHABUBNAGAR",290219,OU,ST,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",304692,OU,BCA,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",306546,OU,SC,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",318479,OU,SC,F,,P4
"SVS DENTAL COLLEGE, MAHABUBNAGAR",319726,OU,ST,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",323689,OU,BCB,F,,P6
"SVS DENTAL COLLEGE, MAHABUBNAGAR",323731,OU,BCA,F,,P2
"SVS DENTAL COLLEGE, MAHABUBNAGAR",337288,OU,SC,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",337331,OU,ST,F,,P3
"SVS DENTAL COLLEGE, MAHABUBNAGAR",339713,OU,SC,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",186899,OU,BCB,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",201632,SVU,OC,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",208569,OU,OC,F,,P5
"M.N.R. DENTAL COLLEGE, FASALWADI",224349,OU,OC,F,,P2
"M.N.R. DENTAL COLLEGE, FASALWADI",227345,AU,SC,F,,P3
"M.N.R. DENTAL COLLEGE, FASALWADI",229813,OU,OC,F,,P2
"M.N.R. DENTAL COLLEGE, FASALWADI",234815,SVU,BCB,M,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",237313,OU,BCD,F,,P3
"M.N.R. DENTAL COLLEGE, FASALWADI",237739,OU,OC,F,,P3
"M.N.R. DENTAL COLLEGE, FASALWADI",237932,OU,OC,F,,P5
"M.N.R. DENTAL COLLEGE, FASALWADI",241111,OU,OC,M,,P3
"M.N.R. DENTAL COLLEGE, FASALWADI",242025,OU,OC,F,,P2
"M.N.R. DENTAL COLLEGE, FASALWADI",243512,OU,BCE,F,,P2
"M.N.R. DENTAL COLLEGE, FASALWADI",243995,OU,BCE,F,,P3
"M.N.R. DENTAL COLLEGE, FASALWADI",245068,OU,BCB,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",248008,OU,OC,M,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",248731,OU,BCE,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",251829,OU,BCE,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",253904,OU,BCE,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",261458,OU,BCE,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",264759,OU,BCE,M,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",265578,OU,BCE,F,,P4
"M.N.R. DENTAL COLLEGE, FASALWADI",267879,OU,BCE,F,,P4
