COLLEGE,RANK,LOC,CAT,SX,MINOR,NRI,ACDS,EWS,PHASE
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",395260,OU,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",405094,AU,BCB,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",409798,OU,OC,M,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",421811,OU,BCD,F,,NRI,,,P1
"APOLLO INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, HYD",428325,OU,BCB,M,,NRI,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",49263,NL,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",61312,AU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",63725,AU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",68913,AU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",70062,NL,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",70893,NL,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74242,NL,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",74429,NL,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",108822,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",135280,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",137750,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",138899,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",139563,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",139931,OU,BCB,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",149921,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",151441,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",152134,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",152248,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",155181,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",155918,OU,BCD,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",158250,OU,BCB,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",158379,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",159928,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",159949,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",160447,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",160577,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",161331,OU,OC,F,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",161810,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162312,OU,OC,M,,,,,P1
"KAMINENI ACADEMY OF MEDICAL SCI AND RESEARCH, HYD",162318,OU,OC,M,,,,,P1
