EWS,NEET Rank,Local,Category,NEET Score,State_Rank,Gender,State Rank
NO,488816,OU,ST,272,988,M,988
NO,488981,OU,BCB,272,989,F,989
NO,491186,OU,BCD,271,990,F,990
NO,491285,OU,BCE,271,991,F,991
NO,492104,OU,SC,271,992,F,992
NO,492164,OU,BCB,271,993,F,993
NO,492401,OU,BCE,271,994,F,994
NO,493008,SVU,ST,271,995,M,995
NO,493738,OU,BCE,270,996,M,996
NO,494041,OU,BCB,270,997,F,997
NO,494638,OU,BCB,270,998,F,998
NO,495406,AU,BCA,270,999,M,999
NO,495416,OU,OC,270,1000,F,1000
EWS,495416,OU,OC,270,1001,F,1001
NO,496760,OU,SC,269,1002,F,1002
NO,497186,OU,BCA,269,1003,F,1003
NO,497396,OU,OC,269,1004,F,1004
NO,499476,SVU,OC,268,1005,F,1005
NO,499612,OU,OC,268,1006,F,1006
NO,499634,OU,SC,268,1007,M,1007
NO,499675,OU,SC,268,1008,F,1008
NO,499778,OU,BCB,268,1009,F,1009
EWS,499831,OU,OC,268,1010,F,1010
NO,499928,OU,BCB,268,1011,F,1011
NO,500124,OU,ST,268,1012,F,1012
NO,500133,OU,SC,268,1013,F,1013
NO,500780,OU,SC,268,1014,F,1014
NO,500820,OU,OC,268,1015,F,1015
NO,502020,OU,BCA,267,1016,M,1016
NO,502120,AU,BCB,267,1017,F,1017
NO,502493,SVU,BCE,267,1018,F,1018
NO,503050,OU,BCA,267,1019,F,1019
NO,504327,OU,BCE,267,1020,F,1020
EWS,504644,OU,OC,266,1021,F,1021
NO,504734,OU,BCE,266,1022,F,1022
NO,504753,OU,SC,266,1023,M,1023
NO,504991,OU,BCD,266,1024,F,1024
NO,505005,OU,BCD,266,1025,F,1025
NO,505178,OU,BCB,266,1026,F,1026
NO,505234,OU,BCE,266,1027,F,1027
NO,505332,SVU,OC,266,1028,F,1028
NO,505787,OU,BCE,266,1029,F,1029
NO,506443,OU,OC,266,1030,F,1030
EWS,507390,OU,OC,265,1031,F,1031
NO,507504,OU,BCE,265,1032,F,1032
