NEET Rank,NEET Roll No,NEET Score,Gender,Category,Local,EWS,State Rank
850026,1224040097,168,F,SC,AU,NO,13512
851324,1229010053,168,M,BCD,AU,NO,13513
853823,1224040067,167,F,ST,AU,NO,13514
854619,1204050357,167,M,SC,SVU,NO,13515
854894,1224050130,167,F,SC,AU,NO,13516
855175,1205130036,167,F,SC,AU,NO,13517
855393,1204050400,167,M,ST,SVU,NO,13518
857532,1216020223,166,M,OC,AU,NO,13519
857625,1224020212,166,M,BCB,AU,NO,13520
857960,4205100482,166,M,ST,OU,NO,13521
858680,1228020033,166,F,BCC,AU,NO,13522
858713,1206140058,166,M,OC,AU,NO,13523
859581,4203051224,166,F,ST,OU,NO,13524
859733,4217010169,166,M,BCD,OU,NO,13525
860003,4208040115,166,M,BCD,SVU,NO,13526
860112,4208020380,166,F,SC,OU,NO,13527
860383,1201040388,166,M,BCA,AU,NO,13528
860454,1224020386,166,M,BCC,AU,NO,13529
861144,1222020046,165,M,OC,AU,NO,13530
861170,1205110363,165,F,OC,SVU,YES,13531
861276,1213010118,165,F,OC,AU,NO,13532
861468,1224050002,165,F,SC,AU,NO,13533
862765,1204010519,165,F,OC,SVU,NO,13534
863592,1206090259,165,F,SC,AU,NO,13535
865791,1206030214,165,F,OC,AU,YES,13536
865871,1224010380,165,F,OC,AU,NO,13537
866140,1205270198,165,M,BCC,AU,NO,13538
866190,4102010350,165,F,BCA,SVU,NO,13539
867323,1205250344,164,M,BCD,AU,NO,13540
867687,1208020146,164,F,BCE,AU,NO,13541
868556,1221020183,164,M,SC,SVU,NO,13542
868617,1205240364,164,M,BCB,AU,NO,13543
868669,4201030385,164,F,SC,OU,NO,13544
870954,1224060227,164,F,SC,AU,NO,13545
871674,1205180123,163,F,OC,AU,NO,13546
872103,1205080399,163,F,SC,SVU,NO,13547
873228,1205150268,163,F,BCC,AU,NO,13548
874108,4206020374,163,M,SC,OU,NO,13549
874956,1201020288,163,F,SC,AU,NO,13550
875219,1205240236,163,F,BCC,AU,NO,13551
876169,1212010089,162,F,ST,SVU,NO,13552
876234,1224060185,162,F,SC,AU,NO,13553
876424,4219010630,162,F,BCE,OU,NO,13554
876936,1203010562,162,F,BCB,SVU,NO,13555
878196,1206080280,162,M,BCD,AU,NO,13556
878703,4201300477,162,M,SC,OU,NO,13557
880759,1206030023,161,F,OC,AU,YES,13558
881579,1202050026,161,F,BCA,SVU,NO,13559
882548,1206060244,161,F,BCD,AU,NO,13560
884398,1206060222,161,F,SC,AU,NO,13561
884714,1224070236,161,F,SC,AU,NO,13562
885098,1227020005,160,M,BCD,AU,NO,13563
885928,1205110488,160,F,BCC,AU,NO,13564
886268,1224040229,160,F,BCB,AU,NO,13565
886638,4201120511,160,F,OC,OU,NO,13566
886798,1206160296,160,F,OC,AU,NO,13567
886907,1203060810,160,F,BCB,SVU,NO,13568
888236,1206050487,160,M,BCD,AU,NO,13569
